Product code,Station number,Year,Month,Monthly mean daily global solar exposure (MJ/m*m)
IDCJAC0003,010092,2009,10,23.8
IDCJAC0003,010092,2009,11,26.8
IDCJAC0003,010092,2009,12,30.6
IDCJAC0003,010092,2010,01,31.0
IDCJAC0003,010092,2010,02,25.7
IDCJAC0003,010092,2010,03,20.5
IDCJAC0003,010092,2010,04,15.9
IDCJAC0003,010092,2010,05,12.5
IDCJAC0003,010092,2010,06,10.4
IDCJAC0003,010092,2010,07,11.2
IDCJAC0003,010092,2010,08,14.3
IDCJAC0003,010092,2010,09,19.4
IDCJAC0003,010092,2010,10,25.8
IDCJAC0003,010092,2010,11,28.5
IDCJAC0003,010092,2010,12,26.5
IDCJAC0003,010092,2011,01,27.7
IDCJAC0003,010092,2011,02,22.1
IDCJAC0003,010092,2011,03,21.6
IDCJAC0003,010092,2011,04,16.0
IDCJAC0003,010092,2011,05,11.4
IDCJAC0003,010092,2011,06,9.9
IDCJAC0003,010092,2011,07,9.4
IDCJAC0003,010092,2011,08,13.9
IDCJAC0003,010092,2011,09,17.2
IDCJAC0003,010092,2011,10,19.4
IDCJAC0003,010092,2011,11,29.1
IDCJAC0003,010092,2011,12,27.8
IDCJAC0003,010092,2012,01,27.7
IDCJAC0003,010092,2012,02,25.0
IDCJAC0003,010092,2012,03,23.1
IDCJAC0003,010092,2012,04,16.0
IDCJAC0003,010092,2012,05,12.5
IDCJAC0003,010092,2012,06,9.7
IDCJAC0003,010092,2012,07,11.2
IDCJAC0003,010092,2012,08,14.6
IDCJAC0003,010092,2012,09,18.9
IDCJAC0003,010092,2012,10,23.7
IDCJAC0003,010092,2012,11,24.3
IDCJAC0003,010092,2012,12,29.9
IDCJAC0003,010092,2013,01,28.2
IDCJAC0003,010092,2013,02,26.1
IDCJAC0003,010092,2013,03,19.7
IDCJAC0003,010092,2013,04,14.6
IDCJAC0003,010092,2013,05,11.7
IDCJAC0003,010092,2013,06,10.3
IDCJAC0003,010092,2013,07,10.9
IDCJAC0003,010092,2013,08,13.2
IDCJAC0003,010092,2013,09,17.4
IDCJAC0003,010092,2013,10,23.8
IDCJAC0003,010092,2013,11,23.7
IDCJAC0003,010092,2013,12,27.7
IDCJAC0003,010092,2014,01,27.9
IDCJAC0003,010092,2014,02,25.7
IDCJAC0003,010092,2014,03,20.4
IDCJAC0003,010092,2014,04,15.4
IDCJAC0003,010092,2014,05,11.5
IDCJAC0003,010092,2014,06,10.6
IDCJAC0003,010092,2014,07,10.5
IDCJAC0003,010092,2014,08,13.3
IDCJAC0003,010092,2014,09,17.4
IDCJAC0003,010092,2014,10,22.6
IDCJAC0003,010092,2014,11,25.5
IDCJAC0003,010092,2014,12,31.2
IDCJAC0003,010092,2015,01,27.9
IDCJAC0003,010092,2015,02,22.3
IDCJAC0003,010092,2015,03,19.2
IDCJAC0003,010092,2015,04,14.6
IDCJAC0003,010092,2015,05,12.7
IDCJAC0003,010092,2015,06,10.2
IDCJAC0003,010092,2015,07,10.1
IDCJAC0003,010092,2015,08,13.5
IDCJAC0003,010092,2015,09,19.3
IDCJAC0003,010092,2015,10,23.2
IDCJAC0003,010092,2015,11,25.9
IDCJAC0003,010092,2015,12,28.7
IDCJAC0003,010092,2016,01,24.6
IDCJAC0003,010092,2016,02,27.9
IDCJAC0003,010092,2016,03,18.7
IDCJAC0003,010092,2016,04,13.4
IDCJAC0003,010092,2016,05,12.4
IDCJAC0003,010092,2016,06,10.2
IDCJAC0003,010092,2016,07,11.3
IDCJAC0003,010092,2016,08,12.9
IDCJAC0003,010092,2016,09,18.2
IDCJAC0003,010092,2016,10,22.5
IDCJAC0003,010092,2016,11,27.2
IDCJAC0003,010092,2016,12,28.1
IDCJAC0003,010092,2017,01,27.2
IDCJAC0003,010092,2017,02,22.9
IDCJAC0003,010092,2017,03,19.2
IDCJAC0003,010092,2017,04,15.7
IDCJAC0003,010092,2017,05,11.4
IDCJAC0003,010092,2017,06,10.8
IDCJAC0003,010092,2017,07,10.8
IDCJAC0003,010092,2017,08,13.5
IDCJAC0003,010092,2017,09,17.1
IDCJAC0003,010092,2017,10,22.9
IDCJAC0003,010092,2017,11,25.9
IDCJAC0003,010092,2017,12,27.0
IDCJAC0003,010092,2018,01,26.8
IDCJAC0003,010092,2018,02,23.0
IDCJAC0003,010092,2018,03,20.1
IDCJAC0003,010092,2018,04,15.3
IDCJAC0003,010092,2018,05,12.6
IDCJAC0003,010092,2018,06,10.0
IDCJAC0003,010092,2018,07,11.5
IDCJAC0003,010092,2018,08,13.2
IDCJAC0003,010092,2018,09,18.9
IDCJAC0003,010092,2018,10,19.9
IDCJAC0003,010092,2018,11,25.9
IDCJAC0003,010092,2018,12,27.5
IDCJAC0003,010092,2019,01,28.6
IDCJAC0003,010092,2019,02,25.8
IDCJAC0003,010092,2019,03,18.7
IDCJAC0003,010092,2019,04,15.6
IDCJAC0003,010092,2019,05,12.7
IDCJAC0003,010092,2019,06,10.0
IDCJAC0003,010092,2019,07,11.8
IDCJAC0003,010092,2019,08,14.5
IDCJAC0003,010092,2019,09,19.7
IDCJAC0003,010092,2019,10,22.2
IDCJAC0003,010092,2019,11,27.2
IDCJAC0003,010092,2019,12,29.2
IDCJAC0003,010092,2020,01,28.7
IDCJAC0003,010092,2020,02,22.2
IDCJAC0003,010092,2020,03,19.9
IDCJAC0003,010092,2020,04,14.8
IDCJAC0003,010092,2020,05,12.0
IDCJAC0003,010092,2020,06,11.0
IDCJAC0003,010092,2020,07,12.3
IDCJAC0003,010092,2020,08,13.7
IDCJAC0003,010092,2020,09,18.2
IDCJAC0003,010092,2020,10,21.9
IDCJAC0003,010092,2020,11,25.1
IDCJAC0003,010092,2020,12,29.6
IDCJAC0003,010092,2021,01,27.9
IDCJAC0003,010092,2021,02,23.3
IDCJAC0003,010092,2021,03,19.4
IDCJAC0003,010092,2021,04,15.2
IDCJAC0003,010092,2021,05,11.5
IDCJAC0003,010092,2021,06,10.3
IDCJAC0003,010092,2021,07,10.4
IDCJAC0003,010092,2021,08,14.1
IDCJAC0003,010092,2021,09,17.8
IDCJAC0003,010092,2021,10,21.2
IDCJAC0003,010092,2021,11,25.7
IDCJAC0003,010092,2021,12,29.3
IDCJAC0003,010092,2022,01,29.6
IDCJAC0003,010092,2022,02,25.6
IDCJAC0003,010092,2022,03,19.0
