Product code,Station number,Year,Month,Lowest temperature (°C),Day,Quality
IDCJAC0008,002056,2015,09,11.4,28,Y
IDCJAC0008,002056,2015,10,15.8,04,Y
IDCJAC0008,002056,2015,11,22.7,16,Y
IDCJAC0008,002056,2015,12,21.7,12,Y
IDCJAC0008,002056,2016,01,22.1,07,Y
IDCJAC0008,002056,2016,02,22.0,23,Y
IDCJAC0008,002056,2016,03,22.5,10,Y
IDCJAC0008,002056,2016,04,17.2,26,Y
IDCJAC0008,002056,2016,05,15.2,15,Y
IDCJAC0008,002056,2016,06,11.4,30,Y
IDCJAC0008,002056,2016,07,7.8,18,Y
IDCJAC0008,002056,2016,08,7.3,05,Y
IDCJAC0008,002056,2016,09,18.5,08,Y
IDCJAC0008,002056,2016,10,16.1,15,Y
IDCJAC0008,002056,2016,11,18.6,17,Y
IDCJAC0008,002056,2016,12,22.9,19,Y
IDCJAC0008,002056,2017,01,22.6,24,Y
IDCJAC0008,002056,2017,02,19.9,22,Y
IDCJAC0008,002056,2017,03,23.4,10,Y
IDCJAC0008,002056,2017,04,17.5,05,Y
IDCJAC0008,002056,2017,05,12.0,12,Y
IDCJAC0008,002056,2017,06,9.2,14,Y
IDCJAC0008,002056,2017,07,10.1,22,Y
IDCJAC0008,002056,2017,08,8.7,04,Y
IDCJAC0008,002056,2017,09,11.1,01,Y
IDCJAC0008,002056,2017,10,19.2,24,Y
IDCJAC0008,002056,2017,11,17.3,04,Y
IDCJAC0008,002056,2017,12,22.8,15,Y
IDCJAC0008,002056,2018,01,21.8,02,Y
IDCJAC0008,002056,2018,02,23.1,27,Y
IDCJAC0008,002056,2018,03,20.6,16,Y
IDCJAC0008,002056,2018,04,14.0,30,Y
IDCJAC0008,002056,2018,05,10.1,15,Y
IDCJAC0008,002056,2018,06,8.8,05,Y
IDCJAC0008,002056,2018,07,8.4,14,Y
IDCJAC0008,002056,2018,08,6.1,15,Y
IDCJAC0008,002056,2018,09,12.9,12,Y
IDCJAC0008,002056,2018,10,18.2,01,Y
IDCJAC0008,002056,2018,11,22.8,03,Y
IDCJAC0008,002056,2018,12,22.2,31,Y
IDCJAC0008,002056,2019,01,22.3,04,Y
IDCJAC0008,002056,2019,02,22.0,03,Y
IDCJAC0008,002056,2019,03,21.3,10,Y
IDCJAC0008,002056,2019,04,16.4,03,Y
IDCJAC0008,002056,2019,05,11.8,30,Y
IDCJAC0008,002056,2019,06,7.7,24,Y
IDCJAC0008,002056,2019,07,8.9,06,Y
IDCJAC0008,002056,2019,08,7.6,15,Y
IDCJAC0008,002056,2019,09,10.2,01,Y
IDCJAC0008,002056,2019,10,14.7,12,Y
IDCJAC0008,002056,2019,11,18.2,07,Y
IDCJAC0008,002056,2019,12,22.3,16,Y
IDCJAC0008,002056,2020,01,22.5,17,Y
IDCJAC0008,002056,2020,02,22.2,23,Y
IDCJAC0008,002056,2020,03,20.1,10,Y
IDCJAC0008,002056,2020,04,17.9,29,Y
IDCJAC0008,002056,2020,05,10.4,25,Y
IDCJAC0008,002056,2020,06,9.7,26,Y
IDCJAC0008,002056,2020,07,8.8,15,Y
IDCJAC0008,002056,2020,08,9.8,02,Y
IDCJAC0008,002056,2020,09,17.3,09,Y
IDCJAC0008,002056,2020,10,17.8,13,Y
IDCJAC0008,002056,2020,11,22.1,08,Y
IDCJAC0008,002056,2020,12,23.0,23,Y
IDCJAC0008,002056,2021,01,23.6,27,Y
IDCJAC0008,002056,2021,02,22.7,10,Y
IDCJAC0008,002056,2021,03,20.0,31,Y
IDCJAC0008,002056,2021,04,13.4,25,Y
IDCJAC0008,002056,2021,05,10.6,19,Y
IDCJAC0008,002056,2021,06,8.3,12,Y
IDCJAC0008,002056,2021,07,8.7,06,Y
IDCJAC0008,002056,2021,08,9.6,08,Y
IDCJAC0008,002056,2021,09,9.6,24,Y
IDCJAC0008,002056,2021,10,17.5,16,Y
IDCJAC0008,002056,2021,11,16.3,18,Y
